Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
49552,The Stranger,Albert Camus,"Camus, Albert","Leman Sarı, Matthew    Ward, Stuart Gilbert","=""""","=""""",4,3.96,Vintage International,Paperback,123,1989,1942,2010/08/22,2010/08/22,,,read,"Good, possibly awesome, surprisingly comic and lighthearted. It was an unusual pairing with reading The Immoralist, which talks about some of the same emotional states but makes an entirely different statement about them. Possibly this didn't have an epic impact only because its sort of cold matter-of-factness has been adopted by many authors with less mojo than Camus.",,,1,,,0,,,,,
70101,The Immoralist,André Gide,"Gide, André","Alan Sheridan, David Watson","=""0142180025""","=""9780142180020""",5,3.59,Penguin Classics,Paperback,144,2001,1902,2010/08/15,2010/08/15,,,read,"Wow. As gripping as it is incredibly sad, in a way that goes so far beyond the mere plot and events. Highly recommended.",,,1,,,0,,,,,
6712580,Reality Hunger: A Manifesto,David Shields,"Shields, David",,"=""0307273539""","=""9780307273536""",0,3.62,Knopf,Hardcover,219,2010,2010,,2010/06/11,to-read,to-read (#8),to-read,,,,0,,,0,,,,,
119561,The Order of Things: An Archaeology of the Human Sciences,Michel Foucault,"Foucault, Michel",,"=""0679753354""","=""9780679753353""",0,4.12,Vintage,Paperback,416,1994,1966,,2010/06/11,to-read,to-read (#7),to-read,,,,0,,,0,,,,,
77516,Stones of Aran: Pilgrimage (Stones of Aran #1),Tim Robinson,"Robinson, Tim",,"=""014011565X""","=""9780140115659""",0,4.23,Penguin Books Ltd,Paperback,320,1991,1986,,2010/06/11,to-read,to-read (#6),to-read,,,,0,,,0,,,,,
114550,Vanishing Point,David Markson,"Markson, David",,"=""1593760108""","=""9781593760106""",0,3.91,Counterpoint,Paperback,191,2004,2004,,2010/06/11,to-read,to-read (#5),to-read,,,,0,,,0,,,,,
41681,The Jungle,Upton Sinclair,"Sinclair, Upton","Earl Lee, Kathleen DeGrave","=""1884365302""","=""9781884365300""",5,3.72,See Sharp Press,Paperback,335,2003,1906,2010/05/23,2010/05/01,,,read,,,,1,,,0,,,,,
29579,Foundation (Foundation #1),Isaac Asimov,"Asimov, Isaac",,"=""0553803719""","=""9780553803716""",4,4.13,Bantam,Hardcover,244,2004,1951,,2010/04/12,,,read,,,,1,,,0,,,,,
69242,Made to Stick: Why Some Ideas Survive and Others Die,Chip Heath,"Heath, Chip",Dan Heath,"=""1400064287""","=""9781400064281""",3,3.96,Random House,Hardcover,291,2007,2006,2010/04/04,2010/03/29,,,read,"This is a decent book; a few of the concepts - styles of introducing gaps in knowledge and the idea of 'commander's intent' were quite useful. However, it too-often falls into the pop-psych mold of ""Researchers from X tested whether X is X. The results were surprising"" (no citation). The fact that the authors pay all too much credit to Gladwell makes it clear that they haven't woken up to the fact that many readers have grown beyond the enjoyment of such light science and the stratospheric concepts that authors try to wire together. I also wish that this sort of text would focus on one or a few industries or companies because the 'whoah, this applies to farming and web 2.0 companies' type of rhetoric is old and detracts from the storytelling by requiring too much setup and too little examination of each scene.",,,1,,,0,,,,,
93504,The Omnivore's Dilemma: A Natural History of Four Meals,Michael Pollan,"Pollan, Michael",,"=""0143038583""","=""9780143038580""",0,4.17,Penguin Books,Paperback,450,2007,2006,,2010/03/29,to-read,to-read (#3),to-read,,,,0,,,0,,,,,
236866,Infrastructure: A Field Guide to the Industrial Landscape,Brian Hayes,"Hayes, Brian",,"=""0393329593""","=""9780393329599""",0,4.45,W. W. Norton  Company,Paperback,544,2006,2005,,2010/03/29,to-read,to-read (#2),to-read,,,,0,,,0,,,,,
102030,Musashi,Eiji Yoshikawa,"Yoshikawa, Eiji","Charles Terry, Edwin O. Reischauer","=""4770019572""","=""9784770019578""",0,4.43,Kodansha International,Hardcover,970,1995,1935,,2010/03/29,to-read,to-read (#1),to-read,,,,0,,,0,,,,,
